,Country,Date,Year,Type,Area,Location,Activity,Sex ,Age,Injury,Fatal_Y_N,Time,Species ,Month
1611,USA,2/16/2005,2005.0,Unprovoked,Hawaii,"Rocky Point, north shore of O'ahu",Surfing,M,0,"No injury, knocked off board, shark bit board",N,14h30,"Tiger shark, 2.4 m [8']",02
1612,USA,2/13/2005,2005.0,Unprovoked,Florida,Fort Lauderdale,Spearfishing,M,0,Hand bitten,N,,1.8 m [6'] Caribbean reef shark,02
1613,BRAZIL,2/4/2005,2005.0,Unprovoked,Bahia,Ilhéus,Surfing,M,12,Right thigh & ankle injured,N,,,02
1614,CUBA,1/20/2005,2005.0,Unprovoked,Santiago de Cuba Province,Uvero,Swimming,M,19,Left foot severed,N,,3 m [10'] shark,01
1619,AUSTRALIA,12/16/2004,2004.0,Unprovoked,South Australia,"West Beach, Adelaide",Scurfing (surfboard being  towed behind a boat),M,18,FATAL,Y,15h15,4.5 m & 5 m white shark ,12
1620,AUSTRALIA,12/11/2004,2004.0,Unprovoked,Queensland,Opal Reef,Spearfishing,M,38,"FATAL, leg bitten",Y,13h00,Bull shark,12
1621,SOUTH AFRICA,11/27/2004,2004.0,Unprovoked,Eastern Cape Province,"Nahoon, East London",Surfing,M,20,3 lacerations on foot,N,18h00,Raggedtooth shark,11
1622,SOUTH AFRICA,11/26/2004,2004.0,Unprovoked,Eastern Cape Province,Gonubie,Playing,M,16,Lacerations on lower leg & foot,N,,Raggedtooth shark,11
1623,SOUTH AFRICA,11/15/2004,2004.0,Unprovoked,Western Cape Province,"Fish Hoek, False Bay",Swimming,F,77,FATAL,Y,07h00,6 m [20'] white shark,11
1624,USA,11/11/2004,2004.0,Unprovoked,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,UNKNOWN,38,"Lacerations to hand, knee & thigh ",N,13h30,5.5 m [18'] white shark,11
1625,VANUATU,11/11/2004,2004.0,Unprovoked,Malampa Province,Malakula (Malakula Island),Snorkeling,M,30s,Thigh bitten,N,09h00,,11
1626,NEW CALEDONIA,11/4/2022,2004.0,Unprovoked,North Province,Koumac,Diving,UNKNOWN,0,Forearm bitten,N,,3 m shark,11
1627,CUBA,10/31/2004,2004.0,Unprovoked,Camaguey Province,Santa Lucia,Diving,M,40,Left forearm bitten,N,14h00,2.5 m [8.25'] bull shark,10
1629,SOUTH AFRICA,10/30/2004,2004.0,Unprovoked,Western Cape Province,Gansbaai,Chumming for white sharks,M,52,Right ankle & foot lacerated,N,Morning,2 m [6.75'] white shark,10
1630,AUSTRALIA,10/21/2004,2004.0,Unprovoked,New South Wales,Stockton Beach,Surfing,M,59,Right foot lacerated,N,Afternoon,"Bronze whaler shark, 2.4 m [8'] ",10
1631,USA,10/10/2004,2004.0,Unprovoked,California,"Limantour Beach, Point Reyes National Seashore",Surfing,M,0,Lower leg bitten,N,09h30,1.8 m to 2.4 m [6' to 8'] white shark,10
1632,USA,10/9/2004,2004.0,Unprovoked,Hawaii,Moloka'i,Spearfishing,M,34,Left shoulder bitten,N,12h40,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] ",10
1633,SOUTH AFRICA,10/9/2004,2004.0,Unprovoked,Eastern Cape Province,Jeffrey’s Bay,Surfing,M,34,Puncture wounds on right foot,N,Morning,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']",10
1634,REUNION,10/6/2004,2004.0,Unprovoked,Conservatória District,"P' tit Paris, Saint-Pierre",Body boarding,M,15,"Leg severely bitten, surgically amputated",N,16h15,Thought to involve a 2.5 m bull or tiger shark,10
1635,USA,10/2/2004,2004.0,Unprovoked,California,"Pismo Beach, San Luis Obispo County",Surfing,M,16,"No injury, knocked off surfboard",N,15h30,,10
1636,USA,10/1/2004,2004.0,Unprovoked,California,"Lifeguard Tower 16, Huntington Beach, Orange County",Surfing,M,40,"No injury, shark struck board & spun it around",N,14h00,,10
1638,USA,9/20/2004,2004.0,Unprovoked,Oregon,Gold  Beach,Surfing,M,26,Leg bitten,N,09h00,White shark,09
1640,BRAZIL,9/8/2004,2004.0,Unprovoked,Pernambuco,"Pina, Recife",Swimming,UNKNOWN,0,FATAL,Y,,,09
1641,USA,9/4/2004,2004.0,Unprovoked,South Carolina ,"North of Apache Pier, Myrtle Beach, Horry County",Jumping,F,17,Left knee & leg bitten,N,15h40,2.4 m [8'] shark,09
1642,USA,8/29/2004,2004.0,Unprovoked,Florida,"New Smyrna Beach / Cape Canaveral  National Seashore, Brevard County",Walking,F,38,Heel bitten,N,17h30,,08
1643,BRAZIL,8/21/2004,2004.0,Unprovoked,Pernambuco,"Boa Viagem Beach, Recife",Bathing,M,24,Calf bitten & both hands injured,N,13h00,"Tiger shark, 1.5 m ",08
1644,USA,8/20/2004,2004.0,Unprovoked,California,"204s, San Clemente, Orange County",Surfing,M,0,Foot bitten,N,17h30,0.9 m to 1.2 m [3' to 4'] white shark,08
1645,USA,8/15/2004,2004.0,Unprovoked,California,"Kibesillah, Mendocino County",Diving,M,50,FATAL,Y,16h00,4.9 m to 5.5 m [16' to 18'] white shark,08
1646,USA,8/6/2004,2004.0,Unprovoked,Florida,"Big Bayou, St. Petersburg, Pinellas County ",Swimming,M,47,"Back, buttocks, left hand & left side of face bitten",N,20h30,1.2 m [4'] shark,08
1647,AUSTRALIA,8/3/2004,2004.0,Unprovoked,New South Wales,Byron Bay,Spearfishing,M,30,Minor puncture wounds to leg,N,14h00,,08
1649,USA,7/31/2004,2004.0,Unprovoked,Florida,"Cocoa  Beach, Brevard County",Surfing,F,20,Right foot bitten,N,13h00,,07
1650,RUSSIA,7/30/2004,2004.0,Unprovoked,Kuril Islands in the Pacific,"Kunashir Island, 70 km from northern Japan",Diving & fishing with net,M,0,Thigh & calf bitten,N,,White shark,07
1651,USA,7/28/2004,2004.0,Unprovoked,North Carolina,"Rodanthe, Dare County",Surfing,F,28,Right calf bitten,N,17h30,,07
1652,USA,7/27/2004,2004.0,Unprovoked,North Carolina,"Carolina Beach, New Hanover County",Swimming,F,13,Right forearm & wrist lacerated,N,17h00,1.8 m [6'] shark,07
1653,USA,7/27/2004,2004.0,Unprovoked,Texas,Galveston Island,Swimming,F,19,Right foot bitten,N,16h30,1.2 m to 1.5 m [4' to 5'] shark,07
1654,USA,7/25/2004,2004.0,Unprovoked,Texas,"Bryan Beach, Brazoria County",Wading / fishing & carrying a bag of fish,M,11,Right forearm nearly severed and bites above & below the right knee,N,19h30,Bull shark,07
1656,JAPAN,7/15/2004,2004.0,Unprovoked,Wakayama Prefecture,Susami,Fishing for squid aboard the trawler Shikishima-Maru when the shark leapt into the boat,M,51,Suffered broken ribs when the shark's tail fin slammed into his chest,N,,"Longfin mako shark, 3.5 m [11.5'], 350-kg [772-lb] ",07
1657,AUSTRALIA,7/10/2004,2004.0,Unprovoked,Western Australia,"Lefthanders Beach, Margaret River",Surfing,M,30,"FATAL, abdomen, pelvis & leg bitten      ",Y,14h10,"2 sharks, 4.5 m & 3 m ",07
1658,EGYPT,7/2/2004,2004.0,Unprovoked,Sinai Peninsula,The lagoon at Dahab,Snorkeling,F,Teen,Hand severed,N,,"""black tipped"" shark",07
1659,USA,7/2/2004,2004.0,Unprovoked,Alabama,"Gulf Shores Beach, Baldwin County",Wading,M,7,Right foot lacerated,N,16h40,4' to 5' shark,07
1660,USA,6/26/2004,2004.0,Unprovoked,California,"San Onofre State Beach, San Diego County",Surfing,M,45,"No injury, shark struck his board",N,09h00,"9'2"" white shark",06
1662,USA,6/14/2004,2004.0,Unprovoked,Florida,"Disney / Vero Beach, Indian River County",In water with diving seabirds,F,0,Foot bitten,N,,,06
1663,AUSTRALIA,6/10/2004,2004.0,Unprovoked,Western Australia,Bunbury,Body boarding,M,17,Ankle & foot lacerated,N,Late afternoon,"Bronze whaler shark, 2.5 m [8.25'] ",06
1664,USA,6/10/2004,2004.0,Unprovoked,Florida,"Daytona Beach Shores, Volusia County",Swimming,M,8,Right wrist  & left arm lacerated,N,18h00,1.2 m [4'] shark,06
1665,SOUTH AFRICA,6/2/2004,2004.0,Unprovoked,Western Cape Province,Dyer Island,"Swimming, poaching perlemoen",M,21,"FATAL, leg severed ",Y,15h00,White shark,06
1666,USA,5/29/2004,2004.0,Unprovoked,Texas,"Pirate's Beach, Galveston Island",Wading,M,16,Puncture wounds on shin,N,19h45,0.9 m to 1.5 m [3' to 5'] shark,05
1667,BRAZIL,5/23/2004,2004.0,Unprovoked,Pernambuco,Piedade Beach,Swimming,M,17,"Left hand, foot severed &  left calf & arm bitten",N,14h30,Bull shark,05
1668,USA,5/28/2004,2004.0,Unprovoked,California,"Salmon Creek, Sonoma County",Surfing,M,44,No injury,N,11h00,2.4 m to 3.7 m [8' to 12'] shark,05
1669,USA,5/23/2004,2004.0,Unprovoked,Florida,"St. Augustine, St. John's County",Boogie-boarding / swimming,M,9,Calf & foot lacerated,N,12h30,,05
1671,USA,5/22/2004,2004.0,Unprovoked,Florida,"Jacksonville Beach, Duval County",other,F,9,Foot bitten,N,Afternoon,,05
1672,BRAZIL,5/22/2004,2004.0,Unprovoked,Pernambuco,"Piedade Beach, Recife",Wading,F,24,Hips & thighs bitten,N,16h00,,05
1674,USA,5/4/2004,2004.0,Unprovoked,Texas,Channel between South Padre Island & Padre Island National Seashore,Tandem surfing,M,28,"No injury, board bitten",N,16h30,"Mako shark, 1.8 m [6']",05
1675,BRAZIL,5/1/2004,2004.0,Unprovoked,Pernambuco,Piedade ,Swimming,M,22,FATAL,Y,Afternoon,,05
1676,AUSTRALIA,4/26/2004,2004.0,Unprovoked,New South Wales,"Latitude Reef, near Forster",Diving,M,0,Puncture wounds on wrist,N,Morning,"Wobbegong shark, 1.2 m [4'] k",04
1678,TONGA,4/13/2004,2004.0,Unprovoked,Nuku'alofa,30 nautical miles offshore,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,0,"Bitten on feet, legs, back & abdomen but survived.  Survivors rescued after  7.5 hours in the water",Y,,small sharks,04
1680,USA,4/7/2004,2004.0,Unprovoked,Hawaii,"Kahana Beach, Maui",Surfing,M,57,FATAL Severe wound to right thigh & calf,Y,07h08,Tiger shark,04
1681,SOUTH AFRICA,4/5/2004,2004.0,Unprovoked,Western Cape Province,"Surfers' Corner, Muizenberg, False Bay",Surfing,M,16,"Left leg lacerated, right leg severed above the knee ",N,14h00,5 m [16.5'] white shark,04
1683,USA,3/31/2004,2004.0,Unprovoked,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",other,M,26,Right foot bitten,N,,,03
1684,USA,3/31/2004,2004.0,Unprovoked,Florida,"Stuart Rocks, Martin County",Surfing,M,20,15 puncture wounds on foot,N,09h00,1.2 m [4'] bull shark,03
1685,BRAZIL,3/29/2004,2004.0,Unprovoked,Pernambuco,Piedade Beach,Body boarding,M,22,"Lower left leg bitten, surgically amputated",N,07h30,bull shark,03
1686,USA,3/28/2004,2004.0,Unprovoked,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Surfing,M,0,Heel bitten,N,15h00,bull shark,03
1687,REUNION,3/27/2004,2004.0,Unprovoked,Saint-Benoît,Spot de la gare,Surfing,M,20,Right thigh bitten,N,17h00 or 17h40,2.5 m shark,03
1688,USA,3/27/2004,2004.0,Unprovoked,Florida,"Sanibel Island, Lee County",Swimming,M,61,Minor lacerations & abrasions on forearm,N,08h30,,03
1689,USA,3/14/2004,2004.0,Unprovoked,Hawaii,Punaluu,Snorkeling,F,0,Lacerations to left foot,N,10h00,1.8 m [6'] shark,03
1690,NEW ZEALAND,3/22/2004,2004.0,Unprovoked,North Island,Te Arai Point,Spearfishing,M,0,No injury,N,12h30,Bronze whaler shark,03
1691,USA,3/16/2004,2004.0,Unprovoked,Hawaii,"Kalihiwai Beach, Kauai",Surfing,M,51,"No injury, board bitten",N,07h45,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",03
1692,AUSTRALIA,3/6/2004,2004.0,Unprovoked,Western Australia,5 nm off Cervantes,Spearfishing,M,47,Shin & calf bitten,N,,"Bronze whaler shark, 1.5 m [5'] ",03
1693,BRAZIL,2/29/2004,2004.0,Unprovoked,Pernambuco,"Piedade Beach, Recife",Swimming,M,29,"FATAL, right thigh & hip bitten   ",Y,15h00,,02
1694,NEW ZEALAND,2/26/2004,2004.0,Unprovoked,"South Island, near Karitane north of Dunedin",South Beach,Surfing,M,15,Thigh lacerated,N,19h00,2 m [6.75'] sevengill  shark,02
1695,AUSTRALIA,2/21/2004,2004.0,Unprovoked,New South Wales,"Taree, Old Bar Beach",Swimming,M,0,Three toes lacerated,N,,,02
1697,EGYPT,2/14/2004,2004.0,Unprovoked,other,"Coral Bay, Sharm-el-Sheikh",Snorkeling,M,0,FATAL,Y,,,02
1698,AUSTRALIA,2/11/2004,2004.0,Unprovoked,New South Wales,Caves Beach,Snorkeling,M,22,Leg bitten,N,,"60 cm [23.6""] blind or brown shark",02
1699,AUSTRALIA,1/25/2004,2004.0,Unprovoked,Western Australia,Binningup,Scuba diving,M,46,Left leg bitten,N,11h05,4 m to 5 m [13' to 16.5'] white shark,01
1700,URUGUAY,1/23/2004,2004.0,Unprovoked,Rocha,Ensenada de la Coronilla,Surfing,M,21,Puncture wounds to dorsum of right foot,N,,Possibily a  1.5 to 2 m sandtiger shark,01
1702,VENEZUELA,1/21/2004,2004.0,Unprovoked,Anzoategui,"Playa Colorada Beach, Mochima National Park, only 200 m west of Santa Cruz Beach",Swimming,M,0,Lower back & hand bitten,N,14h30,"Bull shark, 1.65 m [5'5""] was speared & killed",01
1703,VENEZUELA,1/21/2004,2004.0,Unprovoked,Anzoategui,"Santa Cruz Beach, Mochima National Park, 250 km from Caracas",Spearfishing,M,40,Right leg bitten,N,11h00,"Bull shark, 132-kg [291-lb] ",01
1705,AUSTRALIA,1/12/2004,2004.0,Unprovoked,New South Wales,Bushrangers Pass at Bass Point,Diving,M,0,"No injury, swim fin ripped off",N,Midday,"Raggedtooth shark, 3.5 m [11.5'] ",01
1706,SOUTH AFRICA,1/7/2004,2004.0,Unprovoked,Eastern Cape Province,"West Beach, Port Alfred",Surfing,M,22,Foot lacerated,N,,Raggedtooth shark,01
1709,AUSTRALIA,6/26/1905,2004.0,Unprovoked,Western Australia,Redgate Beach,Surfing,M,0,No inury,N,Morning,,00
1712,USA,12/13/2003,2003.0,Unprovoked,Florida,"Melbourne Beach, Brevard County",Swimming,M,13,Foot bitten,N,13h15,,12
1713,NEW ZEALAND,12/13/2003,2003.0,Unprovoked,Cook Islands,Pukapuka Northern Group,Swimming / shipwreck,M,45,FATAL,Y,Night,,12
1714,AUSTRALIA,12/8/2003,2003.0,Unprovoked,Victoria,Collendina Beach east of Ocean Grove,Surfing amid a shoal of sharks,M,36,"No inury, shark caught leash attached to surfer's ankle & towed him a short distance",N,09h30,,12
1715,AUSTRALIA,11/30/2003,2003.0,Unprovoked,Western Australia,Perth? (Margaret River District),Swimming,M,0,"After biting Halverson, it bit Scott's thigh",N,11h30,"Wobbegong shark, 1.2 m [4'] ",11
1716,AUSTRALIA,11/30/2003,2003.0,Unprovoked,Western Australia,Perth? (Margaret River District),Swimming,M,0,Hand & foot bitten,N,11h30,"Wobbegong shark, 1.2 m [4'] ",11
1717,SOUTH AFRICA,11/27/2003,2003.0,Unprovoked,KwaZulu-Natal,Sodwana,Spearfishing,M,21,"Presumed FATAL, severed hand recovered",Y,>08h00,"Tiger shark, 4 m [13']  ?",11
1718,USA,11/22/2003,2003.0,Unprovoked,Florida,"Daytona Beach, Volusia County",Surfing,F,35,Severe abrasion to left lateral calf,N,15h30,4' shark,11
1719,INDIA,11/12/2003,2003.0,Unprovoked,Tamil Nadu,"Mahabalipuram beach, 37 km south of Chennai",Swimming or surfing,M,35,Left index finger lacerated,N,,Tiger shark?,11
1720,USA,11/12/2003,2003.0,Unprovoked,Florida,"South Jetty, New Smyrna Beach, Volusia County",Surfing,M,24,Lacerations to hand,N,,,11
1721,EGYPT,11/6/2003,2003.0,Unprovoked,Sinai Peninsula,"Sha’ab Mahmud, Ras Mohamed Park",Snorkeling,M,0,Hand/elbow injured,N,,2.5 oceanic whitetip shark,11
1722,SOUTH AFRICA,11/6/2003,2003.0,Unprovoked,KwaZulu-Natal,Karridene,Surf skiing,UNKNOWN,0,"No injury to occupants, hull of ski bitten",N,,White shark,11
1723,AUSTRALIA,11/1/2003,2003.0,Unprovoked,New South Wales,"Seal Rocks, north of Newcastle",Standing,M,0,Minor lacerations to leg & foot,N,Dusk,,11
1725,USA,10/31/2003,2003.0,Unprovoked,Florida,"Ponte Vedra Beach, St. Johns County",Surfing,M,18,Left foot (sole) bitten,N,15h00,1.2 m to 1.5 m [4' to 5'] shark,10
1726,AUSTRALIA,10/31/2003,2003.0,Unprovoked,New South Wales,"Lighthouse Beach, Seal Rocks",Surfing,M,22,Left ankle & foot lacerated,N,17h30,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark",10
1727,USA,10/31/2003,2003.0,Unprovoked,Hawaii,"Tunnels surf break off Makua Beach, Kaua'i",Surfing,F,13,Left arm severed below shoulder,N,07h30,"Tiger shark, 14' ",10
1728,USA,10/27/2003,2003.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,46,Laceration on right ankle & heel,N,12h20,,10
1730,USA,10/14/2003,2003.0,Unprovoked,Florida,Near Patrick Air Force Base Brevard County,Surfing,M,19,Foot bitten,N,--,1.2 m [4'] shark,10
1732,USA,10/5/2003,2003.0,Unprovoked,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,F,0,Minor puncture wounds in hand,N,15h00,,10
1733,USA,10/5/2003,2003.0,Unprovoked,Florida,"Stuart Park Beach, Martin County",Surfing,M,18,5 to 6 lacerations on right foot & ankle,N,14h30,,10
1735,USA,10/5/2003,2003.0,Unprovoked,Florida,"Crawford Road beach approach at New Smyrna Beach, Volusia County",Sitting on surfboard,M,50,Left foot bitten,N,12h02,,10
1736,USA,10/5/2003,2003.0,Unprovoked,Hawaii,"Cove Beach / Kalama Beach, Kihei, Maui",Wading near a fishing net,F,41,"Left thigh abraded, right knee and right index finger injured",N,12h55,"1.2 m [4'] ""grey-colored shark""",10
1737,FIJI,9/29/2003,2003.0,Unprovoked,Taveuni,Welagi coastal reef off Drekeniwai,Wading to shore from his boat,M,40,FATAL abdomen bitten,Y,Night,,09
1738,USA,9/28/2003,2003.0,Unprovoked,Florida,"North Hutchinson Island, St. Lucie Couny",Surfing,M,16,Arm lacerated,N,07h45,,09
1739,USA,9/21/2003,2003.0,Unprovoked,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,21,Left foot bitten,N,11h45,,09
1740,USA,9/19/2003,2003.0,Unprovoked,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,19,Left heel lacerated,N,16h30,,09
1741,USA,9/17/2003,2003.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,3 puncture wounds on left foot,N,14h00,,09
1742,USA,9/14/2003,2003.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,30,Left foot: lacerations on heel and sole,N,16h14,3' shark,09
1745,USA,9/13/2003,2003.0,Unprovoked,Florida,"Daytona Beach, Volusia County ",Body boarding,M,18,Left calf avulsion,N,17h11,6' shark,09
1746,USA,9/13/2003,2003.0,Unprovoked,South Carolina,"Isle of Palms, Charleston County","Standing, stepped on shark",M,15,Ankle lacerated,N,Afternoon,7' shark,09
1747,SOUTH AFRICA,9/12/2003,2003.0,Unprovoked,Western Cape Province,Near the wreck of the Kakapo off Noordhoek Beach,Body boarding,M,19,"FATAL, left thigh, buttocks, back of spine, abdomen & chest bitten  ",Y,14h30,White shark,09
1748,USA,9/3/2022,2003.0,Unprovoked,Florida,"Boca Grande, Lee County",Wade-fishing,M,0,2 lacerations on each side of Achilles tendon,N,,,09
1750,USA,8/19/2003,2003.0,Unprovoked,California,"Avila Beach, San Luis Obispo County","Swimming, wearing black wetsuit & swim fins",F,50,"FATAL          Hip & upper thigh bitten, femoral artery severed ",Y,08h15,4.5 m to 5.5 m [15' to 18'] white shark,08
1752,SOUTH AFRICA,8/8/2003,2003.0,Unprovoked,Eastern Cape Province,Jeffrey’s Bay,Sitting on surfboard,M,16,"No injury, wetsuit torn & board bitten",N,08h00,3.5 m [11.5'] white shark,08
1753,AUSTRALIA,Reported 26-Jul-2003,2003.0,Unprovoked,Northern Territory,Nhulunbuy,Surf skiing,M,37,"No injury, flung into water when shark bit rudder of ski",N,,,07
1754,USA,7/20/2003,2003.0,Unprovoked,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,18,Laceration to little finger of  right hand,N,15h45,,07
1755,USA,7/15/2003,2003.0,Unprovoked,Florida,"Daytona Beach, Volusia County",Wading,F,15,Heel & sole of left foot,N,14h37,,07
1756,BAHAMAS,7/10/2003,2003.0,Unprovoked,Abaco Islands,Bakers Bay,Spearfishing,M,58,Right thigh bitten,N,14h30,Unidentified species,07
1758,USA,7/5/2003,2003.0,Unprovoked,Florida,"Canova Beach, Brevard County",Surfing,M,21,Left foot bitten,N,,1.5 m to 1.8 m [5' to 6'] shark,07
1759,BAHAMAS,7/4/2003,2003.0,Unprovoked,Abaco Islands,10 miles west of Walker’s Cay,Spearfishing,M,39,Left calf bitten,N,14h45,2.1 m  [7'] bull shark,07
1760,USA,7/3/2022,2003.0,Unprovoked,Florida,"Fort Lauderdale, Broward County",Spearfishing,M,0,Laceration to toe,N,,8' great hammerhead shark,07
1761,FRENCH POLYNESIA,Late Jul-2003,2003.0,Unprovoked,Society Islands,Moorea,Spearfishing,M,0,Leg bitten,N,,,07
1762,NEW ZEALAND,7/3/2022,2003.0,Unprovoked,Cook Islands,Beveridge Reef,Snorkeling,M,0,Chest & buttocks  bitten,N,,Grey reef shark,07
1763,USA,6/30/2003,2003.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Right foot & toes lacerated,N,13h53,Unidentified species,06
1764,USA,6/26/2003,2003.0,Unprovoked,Florida,St Augustine Beach. St. Johns County,Surfing,M,15,Ankle lacerated,N,Morning,106 cm [3.5']  shark,06
1765,BRAZIL,6/24/2003,2003.0,Unprovoked,Pernambuco,"Piedade, Recife",other,M,0,FATAL,Y,,,06
1766,USA,6/24/2003,2003.0,Unprovoked,Florida,"Cocoa Beach, Brevard County",Standing,F,12,2 lacerations to the thigh,N,Afternoon,“small brown shark”,06
1767,USA,6/24/2003,2003.0,Unprovoked,Hawaii,"Makua Beach, Oahu",Swimming with pod of dolphins,M,60,Right foot bitten,N,08h00,3.7 m to 4.3 m [12' to 14'] shark,06
1768,USA,6/22/2003,2003.0,Unprovoked,Johnston Atoll,other,Swimming,M,51,Left leg bitten,N,Afternoon,Unidentified species,06
1769,USA,6/19/2003,2003.0,Unprovoked,North Carolina,"Masonboro Island, New Hanover County",Surfing ,M,33,Hand bitten ,N,Late afternoon,"""sand shark""",06
1770,USA,6/8/2003,2003.0,Unprovoked,Florida,"Ponce Inlet, Volusia County",Surfing,UNKNOWN,15,6 puncture wounds to left ankle,N,11h55,,06
1772,USA,5/25/2003,2003.0,Unprovoked,Florida,"Coral Cove Park, Jupiter Inlet, Palm Beach County",Surfing,M,18,Left foot lacerated,N,10h00,,05
1773,USA,5/14/2003,2003.0,Unprovoked,Florida,"Ponce de Leon Inlet, Volusia County ",Wading,M,22,Left foot bitten,N,13h23,3' to 5' shark,05
1774,USA,5/10/2003,2003.0,Unprovoked,Hawaii,Between Magic Sands Beach and Kahaluu Beach on the Kona coast,Swimming,M,20,Right calf & heel bitten,N,11h45,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark,05
1776,USA,5/3/2003,2003.0,Unprovoked,Florida,"Daytona Beach Shores, Volusia County",Walking,F,9,Laceration to right lower leg,N,12h20,,05
1777,PHILIPPINES,5/3/2022,2003.0,Unprovoked,Baatan,Limay,other,UNKNOWN,0,Arm severed,N,,White shark,05
1779,BRAZIL,4/25/2003,2003.0,Unprovoked,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Swimming ,M,16,Bitten on finger,N,18h30,,04
1780,BRAZIL,4/23/2003,2003.0,Unprovoked,Pernambuco,"Pau Amarelo Beach, Paulista District (17 km from Recife)",Surfing,M,17,"Hand & foot lacerated,  lower left leg severely bitten, necessitating surgical amputation",N,17h00,Bull shark,04
1781,BRAZIL,4/23/2003,2003.0,Unprovoked,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Swimming,M,7,Right hand lacerated,N,,,04
1782,USA,4/21/2003,2003.0,Unprovoked,Florida,"Melbourne Beach, Brevard County ",Surfing,M,36,Right leg bitten,N,14h30,Unidentified species,04
1783,USA,4/21/2003,2003.0,Unprovoked,Florida,"Shepard Park, Cocoa Beach, Brevard County ",Surfing,M,17,Survived,N,13h30,Unidentified species,04
1784,USA,4/20/2003,2003.0,Unprovoked,Florida,"Playalinda Beach, Brevard County",Surfing,M,30,Left foot bitten,N,Afternoon,Unidentified species,04
1785,USA,4/20/2003,2003.0,Unprovoked,Florida,"Sunglow Pier, Daytona Beach Shores, Volusia County",Surfing,M,23,Small lacerations to foot,N,09h00,0.9 m to 1.2 m [3' to 4'] shark,04
1786,USA,4/20/2003,2003.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,Left ankle bitten or right foot,N,14h20,Unidentified species,04
1787,USA,4/19/2003,2003.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County  ",Jumping,M,11,Left foot bitten,N,13h20,A “small” shark,04
1788,USA,4/18/2003,2003.0,Unprovoked,Florida,"North Beach, Patrick AFB, Brevard County",Surfing,M,12,2 lacerations on left thigh,N,08h50,Unidentified species,04
1789,USA,4/15/2003,2003.0,Unprovoked,Florida,"Cocoa Beach, Brevard County",Swimming (using a float),M,20,Left calf lacerated,N,13h00,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee",04
1790,VENEZUELA,4/11/2003,2003.0,Unprovoked,Nueva Esparta,"El Yaqu, Isla de Margarita",Surfing,M,28,"Right foot bitten, left leg severed",N,--,"Mako shark, 3 m [10']",04
1791,USA,4/9/2003,2003.0,Unprovoked,Florida,"Melbourne Beach, Brevard County",Surfing,M,0,Arm lacerated,N,Dusk,,04
1792,USA,4/4/2003,2003.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,50,Left hand and wrist bitten,N,08h00,4' to 5' shark,04
1794,NEW ZEALAND,2/27/2003,2003.0,Unprovoked,Southland,East side of Bench Island in the Foveaux Strait,Scuba diving,M,44,Arm lacerated (shark made 3 strikes),N,11h45,2.5 m [8.25'] white shark,02
1795,AUSTRALIA,2/15/2003,2003.0,Unprovoked,South Australia,"Goolwa Beach, Fleurieu Peninsula",Wading,M,37,Ankle lacerated,N,Dusk,"""a small shark""",02
1796,USA,2/15/2003,2003.0,Unprovoked,Florida,"Jupiter, Palm Beach County",Swimming,M,54,Left hand bitten,N,12h10,Species unidentified,02
1797,AUSTRALIA,2/11/2003,2003.0,Unprovoked,New South Wales,"Coogee Bay, near Sydney",Swimming,M,24,"Puncture wounds on heel, legs and buttocks",N,--,Thought to involve a 2 m [6.75'] grey nurse shark,02
1798,AUSTRALIA,2/8/2003,2003.0,Unprovoked,Queensland,Burleigh Lake on the Gold Coast,Swimming,M,84,FATAL,Y,Morning,Thought to involve a >2 m [6.75'] bull shark,02
1800,COSTA RICA,1/3/2003,2003.0,Unprovoked,North Pacific coast,Playa Tamarindo ,Surfing,M,0,Lower right leg lacerated,N,,"Bull shark, 7'",01
