country,year,area,activity,sex,age,fatal_y_n,month,hemisph,Season
USA,2014.0,Georgia,Surfing,M,12,N,5,North,spring
USA,2014.0,South Carolina,Swimming,F,40,N,5,North,spring
USA,2014.0,Florida,Surfing,M,23,N,5,North,spring
USA,2014.0,Florida,Swimming,M ,42,N,4,North,spring
USA,2014.0,Florida,Wading,M,25,N,4,North,spring
USA,2014.0,Florida,Surfing,M,teen,N,4,North,spring
USA,2014.0,Florida,Surfing,M,teen,N,4,North,spring
USA,2014.0,Florida,Kite Surfing,M,0,N,3,North,spring
USA,2014.0,Florida,Surfing,M,9,N,3,North,spring
USA,2014.0,Florida,Surfing,M,21,N,3,North,spring
USA,2014.0,Hawaii,Free diving / Photographing pilot whales,M,0,N,0,North,0
USA,2013.0,Hawaii,Boogie boarding,M,29,N,12,North,winter
USA,2013.0,Florida,Surfing,M,30,N,12,North,winter
USA,2013.0,Hawaii,Kayaking / Fishing,M,57,Y,12,North,winter
USA,2013.0,Hawaii,Snorkeling,F,58,N,11,North,winter
USA,2013.0,Oregon,Surfing,M,25,N,11,North,winter
USA,2013.0,New Jersey,Body boarding,M,16,N,11,North,winter
USA,2013.0,Florida,Surfing,M,0,N,11,North,winter
USA,2013.0,Hawaii,Kiteboarding,M,46,N,10,North,fall
USA,2013.0,Hawaii,Diving ,M,45,N,10,North,fall
USA,2013.0,Hawaii,Surfing,M,25,N,10,North,fall
USA,2013.0,Florida,Wading,M,6,N,10,North,fall
USA,2013.0,California,Surfing,M,45,N,10,North,fall
USA,2013.0,Florida,Wading,M,12,N,10,North,fall
USA,2013.0,Florida,Surfing,M,50,N,9,North,fall
USA,2013.0,Florida,Standing,M,7,N,9,North,fall
USA,2013.0,Florida,Swimming,M,45,N,9,North,fall
USA,2013.0,Florida,Surfing,M,0,N,9,North,fall
USA,2013.0,Florida,Swimming,M,21,N,9,North,fall
USA,2013.0,Florida,Surfing,F,13,N,9,North,fall
USA,2013.0,South Carolina,other,F,0,UNKNOWN,9,North,fall
USA,2013.0,Florida,Standing,M,25,N,9,North,fall
USA,2013.0,Florida,Swimming,M,17,N,9,North,fall
USA,2013.0,Florida,Casting a net,M,9,N,9,North,fall
USA,2013.0,California,Swimming,M,0,N,8,North,summer
USA,2013.0,Florida,Boogie boarding,F,11,N,8,North,summer
USA,2013.0,Hawaii,Surfing,M,16,N,8,North,summer
USA,2013.0,California,Surfing,F,0,N,8,North,summer
USA,2013.0,Hawaii,Snorkeling,F,20,Y,8,North,summer
USA,2013.0,Hawaii,Kiteboarding,F,19,N,8,North,summer
USA,2013.0,South Carolina,Surfing,M,10,N,8,North,summer
USA,2013.0,Florida,Fishing,M,17,N,8,North,summer
USA,2013.0,Hawaii,Snorkeling,F,56,N,7,North,summer
USA,2013.0,South Carolina,Swimming,M,32,N,7,North,summer
USA,2013.0,Hawaii,Surfing,M,18,N,7,North,summer
USA,2013.0,Alabama,Walking in surf,F,50,N,7,North,summer
USA,2013.0,Florida,Swimming ,M,teen,N,7,North,summer
USA,2013.0,North Carolina,Wading,F,63,N,7,North,summer
USA,2013.0,Florida,Swimming,M,0,N,6,North,summer
USA,2013.0,South Carolina,Swimming,M,14,N,6,North,summer
USA,2013.0,Hawaii,Swimming,M,28,N,6,North,summer
USA,2013.0,Texas,Swimming,M,15,N,6,North,summer
USA,2013.0,Florida,Surfing,F,0,N,6,North,summer
USA,2013.0,South Carolina,Boogie Boarding,F,10,N,6,North,summer
USA,2013.0,Hawaii,Diving,M,32,N,5,North,spring
USA,2013.0,Florida,Swimming,M,11,N,5,North,spring
USA,2013.0,Florida,Surfing,M,16,N,5,North,spring
USA,2013.0,Florida,Playing in the surf,M,9,N,4,North,spring
USA,2013.0,Florida,Surfing,M,21,N,4,North,spring
USA,2013.0,Florida,Swimming,M,50,N,4,North,spring
USA,2013.0,Hawaii,Surfing,M,58,N,4,North,spring
USA,2013.0,Hawaii,Surfing,UNKNOWN,0,N,2,North,winter
USA,2013.0,Hawaii,Surfing,M,0,N,2,North,winter
USA,2013.0,Florida,Surfing,M,16,N,2,North,winter
USA,2013.0,Hawaii,Surfing,M,43,N,1,North,winter
USA,2012.0,Florida,Swimming,M,0,N,12,North,winter
USA,2012.0,Hawaii,Surfing,M,60,N,12,North,winter
USA,2012.0,Hawaii,Snorkeling,M,61,N,11,North,winter
USA,2012.0,Florida,Surfing,M,14,N,11,North,winter
USA,2012.0,Hawaii,Diving,M,30,N,11,North,winter
USA,2012.0,Hawaii,Surfing,M,43,N,11,North,winter
USA,2012.0,California,Surfing,M,25,N,10,North,fall
USA,2012.0,Hawaii,Swimming,F,51,N,10,North,fall
USA,2012.0,California,Surfing,M,39,Y,10,North,fall
USA,2012.0,Florida,other,F,35,N,10,North,fall
USA,2012.0,Florida,Surfing,M,24,N,10,North,fall
USA,2012.0,Hawaii,Paddle boarding,M,55,N,10,North,fall
USA,2012.0,California,Windsurfing,M,42,N,10,North,fall
USA,2012.0,Florida,Surfing,M,21,N,9,North,fall
USA,2012.0,Florida,Surfing,M,22,N,9,North,fall
USA,2012.0,Florida,Surfing,M,52,N,9,North,fall
USA,2012.0,Florida,Surfing,UNKNOWN,19,N,9,North,fall
USA,2012.0,Florida,Surfing,M,25,N,9,North,fall
USA,2012.0,Florida,Swimming,M,0,N,9,North,fall
USA,2012.0,Florida,Surfing,M,30s,N,9,North,fall
USA,2012.0,Florida,Surfing,M,37,N,9,North,fall
USA,2012.0,Florida,Surfing,M,32,N,9,North,fall
USA,2012.0,Florida,Boogie boarding,F,8,N,9,North,fall
USA,2012.0,Florida,Swimming or boogie boarding,F,56,N,9,North,fall
USA,2012.0,Alabama,Wading or swimming,M,31,N,8,North,summer
USA,2012.0,Florida,Free diving ,M,56,N,8,North,summer
USA,2012.0,California,Surfing,M,17,N,7,North,summer
USA,2012.0,Hawaii,Surfing,M,44,N,7,North,summer
USA,2012.0,Massachusetts,Body surfing,M,50,N,7,North,summer
USA,2012.0,North Carolina,Swimming,F,43,N,7,North,summer
USA,2012.0,Florida,Swimming,M,6,N,6,North,summer
USA,2012.0,Florida,Surfing,M,26,N,6,North,summer
USA,2012.0,Hawaii,Sitting in the water,F,16,N,6,North,summer
USA,2012.0,Florida,Swimming,M,12,N,6,North,summer
USA,2012.0,North Carolina,Wading,F,6,N,6,North,summer
USA,2012.0,South Carolina,Swimming,F,18,N,6,North,summer
USA,2012.0,South Carolina,Swimming,M,0,N,6,North,summer
USA,2012.0,South Carolina,Swimming,M,0,N,6,North,summer
USA,2012.0,South Carolina,Swimming,M,16,N,6,North,summer
USA,2012.0,Florida,Surfing,F,12,N,6,North,summer
USA,2012.0,South Carolina,Boogie Boarding,M,25,N,6,North,summer
USA,2012.0,North Carolina,Wading,F,33,N,5,North,spring
USA,2012.0,Florida,Surfing,M,22,N,5,North,spring
USA,2012.0,Florida,Swimming,F,47,N,5,North,spring
USA,2012.0,California,Paddle boarding,F,15,N,5,North,spring
USA,2012.0,Florida,Surfing,M,28,N,4,North,spring
USA,2012.0,Hawaii,Surfing,M,28,N,4,North,spring
USA,2012.0,Florida,other,M,0,N,4,North,spring
USA,2012.0,Florida,Surfing,M,21,N,3,North,spring
USA,2012.0,Florida,Surfing,M,61,N,3,North,spring
USA,2012.0,Florida,Surfing,F,15,N,3,North,spring
USA,2012.0,Florida,Surfing,M,17,N,3,North,spring
USA,2012.0,Florida,Kite Surfing,M,19,N,3,North,spring
USA,2012.0,Hawaii,Snorkeling,UNKNOWN,0,N,1,North,winter
USA,2012.0,Oregon,Surfing,M,53,N,1,North,winter
USA,2011.0,Florida,other,M,0,N,12,North,winter
USA,2011.0,Florida,Surfing,M,27,N,12,North,winter
USA,2011.0,Oregon,Surfing,F,0,N,12,North,winter
USA,2011.0,California,Surfing,M,27,N,10,North,fall
USA,2011.0,Oregon,Surfing,M,41,N,10,North,fall
USA,2011.0,Florida,Surfing,M,0,N,10,North,fall
USA,2011.0,Oregon,Surfing,M,0,N,10,North,fall
USA,2011.0,Florida,Wade fishing,M,0,N,10,North,fall
USA,2011.0,Alabama,other,M,29,N,10,North,fall
USA,2011.0,Florida,Spearfishing,M,21,N,9,North,fall
