Country,Year,Area,Activity,Sex,Age,Fatal_Y_N,month,hemisph,Season
AUSTRALIA,2016,Western Australia,Surfing,M,29,Y,5,South,fall
USA,2016,California,Swimming,F,52,N,5,North,spring
USA,2016,Florida,Swimming,M,13,N,5,North,spring
USA,2016,Florida,Swimming,F,57,N,5,North,spring
USA,2016,Florida,Swimming,F,22,N,5,North,spring
USA,2016,Florida,Swimming,F,11,N,5,North,spring
USA,2016,Florida,Swimming,M,48,N,5,North,spring
USA,2016,Hawaii,Floating,M,59,N,5,North,spring
INDONESIA,2016,Bali,Surfing,M,24,N,4,South,fall
USA,2016,Florida,Surfing,M,15,N,4,North,spring
SOUTH AFRICA,2016,Western Cape Province,Surf-skiing,M,0,N,4,South,fall
AUSTRALIA,2016,New South Wales,Swimming,M,12,N,4,South,fall
USA,2016,Florida,Spearfishing,M,26,N,4,North,spring
NEW CALEDONIA,2016,Grand Terre,Walking,F,69,Y,4,South,fall
USA,2016,Florida,Fishing,M,34,N,4,North,spring
USA,2016,Hawaii,Snorkeling,F,46,N,3,North,spring
AUSTRALIA,2016,New South Wales,Surfing,M,22,N,3,South,fall
USA,2016,Florida,other,M,Teen,N,3,North,spring
AUSTRALIA,2016,New South Wales,Surfing,M,41,N,3,South,fall
USA,2016,Florida,Body surfing,M,19,N,3,North,spring
Fiji,2016,Vanua Levu,Diving for beche-de-mer,M,45,Y,3,South,fall
USA,2016,Florida,other,M,12,N,3,North,spring
AUSTRALIA,2016,South Australia,Fishing,M,0,N,3,South,fall
BRAZIL,2016,Santa Catarina State,Swimming,M,41,N,3,South,fall
NEW CALEDONIA,2016,South Province,Kite surfing,M,21,N,2,South,summer
NEW CALEDONIA,2016,South Province,Spearfishing,M,31,N,2,South,summer
DOMINICAN REPUBLIC,2016,Altagracia Province,Wading,F,0,N,2,North,winter
AUSTRALIA,2016,Queensland,Walking,F,45,N,2,South,summer
AUSTRALIA,2016,New South Wales,Windsurfing,M,40,N,2,South,summer
BRAZIL,2016,Balneário Camboriú,Swimming,M,41,N,2,South,summer
USA,2016,Hawaii,Surfing,M,0,N,1,North,winter
USA,2016,Hawaii,Surfing,F,15,N,1,North,winter
USA,2016,Texas,Spearfishing,M,0,N,1,North,winter
USA,2016,Hawaii,Paddle boarding,M,48,N,1,North,winter
AUSTRALIA,2016,Queensland,Surfing,M,0,N,1,South,summer
AUSTRALIA,2016,Queensland,Wading,M,11,N,1,South,summer
AUSTRALIA,2016,Queensland,Spearfishing,M,31,N,1,South,summer
SPAIN,2015,Grand Canary Island,Swimming,F,38,N,12,North,winter
USA,2015,Hawaii,Paddle boarding,M,71,N,12,North,winter
AUSTRALIA,2015,New South Wales,Surfing,M,43,N,12,South,summer
BRAZIL,2015,Pernambuco,Scuba diving,M,32,N,12,South,summer
ARUBA,2015,other,Sea disaster,M,58,Y,12,North,winter
BAHAMAS,2015,other,Lobster fishing,M,26,N,12,North,winter
SOUTH AFRICA,2015,Eastern Cape Province,Swimming / Wading,F,22,N,12,South,summer
ECUADOR,2015,Galapagos Islands,Snorkeling,M,55,N,11,South,summer
USA,2015,Florida,Surfing,M,0,N,11,North,winter
USA,2015,Florida,Swimming,F,0,N,11,North,winter
USA,2015,Florida,Surfing,M,28,N,11,North,winter
AUSTRALIA,2015,New South Wales,Surfing,M,20,N,11,South,summer
USA,2015,Hawaii,Swimming,M,54,N,11,North,winter
USA,2015,Florida,Wading,F,28,N,11,North,winter
MOZAMBIQUE,2015,Inhambane Province,Fishing,M,19,N,11,South,summer
AUSTRALIA,2015,Western Australia,Spearfishing,M,50,N,10,South,spring
USA,2015,Hawaii,Body boarding,M,10,N,10,North,fall
SOUTH AFRICA,2015,Western Cape Province,Surfing,M,42,N,10,South,spring
USA,2015,Florida,Surfing,M,21,N,10,North,fall
USA,2015,Florida,Surfing,M,21,N,10,North,fall
MOZAMBIQUE,2015,Inhambane Province,Fishing for shrimp,F,35,Y,10,South,spring
USA,2015,Hawaii,Swimming,M,44,N,10,North,fall
USA,2015,South Carolina,Boogie boarding,F,9,N,10,North,fall
USA,2015,Hawaii,Surfing,M,25,N,10,North,fall
MOZAMBIQUE,2015,Inhambane Province,Fishing,M,0,N,10,South,spring
AUSTRALIA,2015,Western Australia,Surfing,M,18,N,10,South,spring
USA,2015,Florida,Body boarding,M,22,N,10,North,fall
USA,2015,Texas,Wading,M,13,N,10,North,fall
USA,2015,Florida,Surfing,M,14,N,10,North,fall
USA,2015,Florida,Surfing,M,22,N,9,North,fall
AUSTRALIA,2015,Queensland,Snorkeling,F,7,N,9,South,spring
USA,2015,Florida,Surfing,M,14,N,9,North,fall
USA,2015,Hawaii,Spearfishing,M,27,N,9,North,fall
USA,2015,Florida,Wading,M,12,N,9,North,fall
USA,2015,Florida,Photographing fish,M,16,N,9,North,fall
USA,2015,Florida,Swimming,M,0,N,9,North,fall
USA,2015,Florida,Surfing,M,20,N,9,North,fall
AUSTRALIA,2015,New South Wales,Surfing,M,42,N,9,South,spring
USA,2015,California,Stand-Up Paddleboarding,F,50,N,9,North,fall
AUSTRALIA,2015,New South Wales,Surf-skiing,M,62,N,9,South,spring
USA,2015,South Carolina,other,M,0,N,9,North,fall
FIJI,2015,other,Spearfishing,M,0,N,9,South,spring
USA,2015,California,Surfing,F,54,N,8,North,summer
USA,2015,California,Surfing,M,21,N,8,North,summer
AUSTRALIA,2015,New South Wales,Surfing,M,38,N,8,South,winter
USA,2015,South Carolina,Surfing,M,15,N,8,North,summer
USA,2015,Florida,Walking,F,10,N,8,North,summer
AUSTRALIA,2015,New South Wales,Surfing,M,52,N,7,South,winter
COSTA RICA,2015,Guanacaste,Surfing,M,47,N,7,North,summer
USA,2015,Florida,Surfing,M,25,N,7,North,summer
AUSTRALIA,2015,Tasmania,Scallop diving on hookah,M,46,Y,7,South,winter
AUSTRALIA,2015,Victoria,Surfing,M,40,N,7,South,winter
REUNION,2015,other,Surfing,M,45,N,7,South,winter
SOUTH AFRICA,2015,Eastern Cape Province,Surfing,M,34,N,7,South,winter
USA,2015,California,Surfing,M,38,N,7,North,summer
BAHAMAS,2015,Grand Bahama Island,Spearfishing,F,23,N,7,North,summer
