,Country,Month
1497,AUSTRALIA,03
1498,USA,02
1500,AUSTRALIA,02
1501,AUSTRALIA,02
1503,SOUTH AFRICA,02
1504,TONGA,02
1507,SOUTH AFRICA,01
1509,USA,01
1510,AUSTRALIA,01
1512,AUSTRALIA,01
1513,USA,01
1514,SOUTH AFRICA,01
1515,USA,12
1516,USA,12
1518,AUSTRALIA,12
1520,USA,11
1521,USA,11
1523,AUSTRALIA,11
1524,SOUTH AFRICA,11
1525,NEW CALEDONIA,11
1526,USA,11
1527,USA,11
1530,USA,11
1531,USA,11
1532,USA,11
1533,USA,10
1534,ST. MAARTIN,10
1535,SOUTH AFRICA,10
1536,USA,10
1537,USA,10
1539,USA,10
1540,GRAND CAYMAN,10
1541,USA,10
1542,BAHAMAS,10
1543,SOUTH AFRICA,10
1544,AUSTRALIA,09
1545,AUSTRALIA,09
1546,AUSTRALIA,09
1548,USA,09
1549,USA,09
1550,AUSTRALIA,09
1551,USA,09
1552,AUSTRALIA,09
1553,USA,09
1555,AUSTRALIA,08
1556,USA,08
1558,USA,08
1559,USA,08
1561,USA,08
1562,USA,08
1564,USA,07
1565,USA,07
1570,USA,07
1571,USA,07
1572,USA,07
1573,USA,06
1574,USA,06
1575,VANUATU,06
1576,MEXICO,06
1578,USA,06
1579,SOUTH KOREA,06
1580,USA,06
1582,SOUTH AFRICA,06
1583,USA,06
1584,USA,05
1585,USA,05
1586,SOUTH AFRICA,05
1587,AUSTRALIA,05
1589,MADAGASCAR,05
1591,USA,05
1593,AUSTRALIA,04
1594,AUSTRALIA,04
1595,AUSTRALIA,04
1596,USA,04
1598,USA,04
1599,USA,04
1601,SOUTH AFRICA,03
1602,AUSTRALIA,03
1603,VENEZUELA,03
1604,AUSTRALIA,03
1608,SOLOMON ISLANDS,03
1609,AUSTRALIA,02
1611,USA,02
1612,USA,02
1613,BRAZIL,02
1614,CUBA,01
1619,AUSTRALIA,12
1620,AUSTRALIA,12
1621,SOUTH AFRICA,11
1622,SOUTH AFRICA,11
1623,SOUTH AFRICA,11
1624,USA,11
1625,VANUATU,11
1626,NEW CALEDONIA,11
1627,CUBA,10
1629,SOUTH AFRICA,10
1630,AUSTRALIA,10
1631,USA,10
1632,USA,10
1633,SOUTH AFRICA,10
1634,REUNION,10
1635,USA,10
1636,USA,10
1638,USA,09
1640,BRAZIL,09
1641,USA,09
1642,USA,08
1643,BRAZIL,08
1644,USA,08
1645,USA,08
1646,USA,08
1647,AUSTRALIA,08
1649,USA,07
1650,RUSSIA,07
1651,USA,07
1652,USA,07
1653,USA,07
1654,USA,07
1656,JAPAN,07
1657,AUSTRALIA,07
1658,EGYPT,07
1659,USA,07
1660,USA,06
1662,USA,06
1663,AUSTRALIA,06
1664,USA,06
1665,SOUTH AFRICA,06
1666,USA,05
1667,BRAZIL,05
1668,USA,05
1669,USA,05
1671,USA,05
1672,BRAZIL,05
1674,USA,05
1675,BRAZIL,05
1676,AUSTRALIA,04
1678,TONGA,04
1680,USA,04
1681,SOUTH AFRICA,04
1683,USA,03
1684,USA,03
1685,BRAZIL,03
1686,USA,03
1687,REUNION,03
1688,USA,03
1689,USA,03
1690,NEW ZEALAND,03
1691,USA,03
